Year,Month,Day,Type,Mag
-377,4,6,Total,1.309
-376,9,18,Total,1.215
-374,2,3,Partial,0.039
-373,1,23,Total,1.394
-373,7,19,Total,1.618
-372,1,12,Partial,0.986
-370,5,17,Partial,0.77
-370,11,11,Total,1.349
-369,10,31,Total,1.008
-368,4,26,Partial,0.205
-366,3,6,Total,1.425
-366,8,29,Total,1.327
-365,2,23,Partial,0.877
-365,8,19,Total,1.128
-363,1,2,Partial,0.203
-363,6,28,Partial,0.327
-363,12,23,Total,1.469
-362,6,17,Total,1.724
-362,12,12,Total,1.023
-359,4,17,Total,1.19
-359,10,10,Total,1.079
-358,4,6,Total,1.182
-358,9,29,Total,1.262
-356,8,9,Partial,0.194
-355,2,2,Total,1.355
-354,1,22,Total,1.016
-353,12,3,Partial,0.147
-352,5,28,Partial,0.633
-352,11,21,Total,1.34
-351,5,17,Total,1.666
-351,11,11,Total,1.021
-349,3,28,Partial,0.021
-348,3,16,Total,1.323
-347,3,5,Partial,0.969
-347,8,29,Total,1.202
-345,1,13,Partial,0.19
-344,1,3,Total,1.458
-344,12,23,Total,1.026
-341,10,21,Total,1.053
-340,4,16,Total,1.301
-340,10,10,Total,1.297
-339,9,29,Partial,0.089
-338,8,20,Partial,0.098
-337,2,13,Total,1.302
-337,8,10,Total,1.382
-336,7,29,Partial,0.884
-335,12,14,Partial,0.14
-333,5,28,Total,1.806
-333,11,22,Total,1.028
-332,5,17,Partial,0.463
-330,9,20,Total,1.21
-327,7,20,Partial,0.032
-326,1,13,Total,1.44
-326,7,9,Total,1.421
-325,1,3,Total,1.034
-325,6,28,Partial,0.846
-323,5,8,Partial,0.931
-322,10,21,Total,1.321
-321,10,11,Partial,0.123
-319,2,24,Total,1.239
-319,8,20,Total,1.28
-318,2,13,Total,1.114
-318,8,9,Total,1.001
-316,6,18,Partial,0.36
-316,12,13,Total,1.328
-315,12,2,Total,1.037
-314,5,28,Partial,0.596
-312,4,7,Total,1.083
-312,10,1,Total,1.17
-311,3,27,Total,1.194
-311,9,20,Total,1.313
-309,2,4,Partial,0.136
-308,7,19,Total,1.282
-307,1,13,Total,1.048
-307,7,9,Partial,0.986
-305,5,19,Partial,0.792
-305,11,12,Total,1.028
-304,5,8,Total,1.564
-304,10,31,Total,1.338
-303,4,27,Partial,0.056
-301,3,7,Total,1.161
-301,9,1,Total,1.192
-300,2,24,Total,1.184
-298,1,4,Partial,0.112
-298,6,29,Partial,0.23
-298,12,25,Total,1.318
-297,6,19,Total,1.685
-297,12,14,Total,1.045
-294,4,18,Partial,0.946
-293,4,7,Total,1.325
-293,10,2,Total,1.35
-292,3,26,Partial,0.001
-291,2,14,Partial,0.093
-290,2,4,Total,1.375
-290,7,31,Total,1.155
-289,1,25,Total,1.075
-287,11,22,Total,1.025
-286,5,19,Total,1.707
-285,11,1,Partial,0.162
-283,3,17,Total,1.073
-282,8,31,Total,1.195
-281,2,24,Partial,0.008
-280,1,16,Partial,0.086
-279,1,4,Total,1.299
-279,6,29,Total,1.555
-279,12,24,Total,1.059
-278,6,19,Partial,0.862
-276,4,29,Partial,0.798
-276,10,22,Total,1.12
-275,4,18,Total,1.466
-272,2,15,Total,1.326
-271,2,4,Total,1.111
-271,7,30,Total,1.237
-269,6,10,Partial,0.511
-268,11,22,Total,1.352
-267,5,19,Partial,0.348
-265,3,29,Partial,0.97
-265,9,22,Total,1.051
-264,3,17,Total,1.355
-264,9,10,Total,1.273
-262,1,26,Partial,0.051
-261,1,15,Total,1.274
-260,1,4,Total,1.079
-260,6,29,Partial,0.991
-258,11,3,Total,1.108
-257,10,23,Total,1.392
-256,4,17,Partial,0.259
-254,8,21,Partial,0.939
-253,2,15,Total,1.161
-253,8,10,Total,1.343
-252,7,30,Partial,0.061
-251,6,20,Partial,0.371
-251,12,14,Total,1.022
-250,6,10,Total,1.718
-250,12,3,Total,1.355
-249,5,30,Partial,0.503
-249,11,23,Partial,0.176
-247,10,3,Partial,0.999
-246,3,28,Total,1.459
-245,3,18,Partial,0.169
-244,2,6,Partial,0.002
-243,1,26,Total,1.236
-243,7,21,Total,1.31
-242,1,15,Total,1.11
-240,5,20,Partial,0.484
-240,11,13,Total,1.101
-239,5,9,Total,1.771
-239,11,3,Total,1.4
-238,4,28,Partial,0.402
-238,10,23,Partial,0.026
-236,3,8,Total,1.188
-236,8,31,Partial,0.853
-234,8,10,Partial,0.163
-233,12,25,Total,1.017
-232,6,20,Total,1.572
-231,6,9,Partial,0.657
-231,12,3,Partial,0.18
-229,4,19,Partial,0.74
-229,10,14,Partial,0.96
-228,10,2,Total,1.388
-227,3,28,Partial,0.266
-227,9,21,Partial,0.123
-225,2,6,Total,1.186
-225,8,1,Total,1.2
-224,1,26,Total,1.151
-224,7,21,Total,1.231
-222,5,31,Partial,0.322
-222,11,24,Total,1.099
-221,5,20,Total,1.726
-221,11,14,Total,1.403
-220,5,9,Partial,0.548
-220,11,2,Partial,0.032
-218,3,19,Total,1.1
-217,3,9,Total,1.299
-217,9,1,Total,1.519
-215,7,12,Partial,0.103
-214,7,2,Total,1.425
-214,12,25,Total,1.37
-211,4,29,Partial,0.614
-211,10,24,Partial,0.93
-210,4,19,Total,1.695
-210,10,13,Total,1.428
-209,10,2,Partial,0.178
-207,2,16,Total,1.121
-206,2,5,Total,1.206
-206,8,1,Total,1.338
-203,11,24,Total,1.401
-200,9,22,Partial,0.724
-199,3,19,Total,1.386
-199,9,11,Total,1.588
-198,9,1,Partial,0.332
-196,1,16,Partial,0.989
-195,1,5,Total,1.385
-195,7,1,Partial,0.962
-195,12,25,Partial,0.193
-193,11,5,Partial,0.909
-192,4,29,Total,1.824
-192,10,24,Total,1.458
-191,4,19,Partial,0.49
-191,10,13,Partial,0.219
-189,2,27,Total,1.043
-189,8,23,Total,1.013
-188,2,16,Total,1.274
-187,2,5,Partial,0.014
-186,12,16,Total,1.094
-184,5,30,Partial,0.85
-184,11,24,Partial,0.03
-182,4,10,Partial,0.891
-182,10,3,Partial,0.681
-180,3,19,Partial,0.012
-180,9,11,Partial,0.396
-178,1,26,Partial,0.963
-178,7,23,Total,1.154
-177,7,12,Total,1.107
-176,1,6,Partial,0.204
